,,InChIKey
analogInchikeys,299,ZOQCEVXVQCPESC-SBRZMKMUSA-N
analogInchikeys,303,CZIHNRWJTSTCEX-UHFFFAOYSA-N
analogInchikeys,306,GHQQYDSARXURNG-SSEXGKCCSA-N
analogInchikeys,317,JZQKTMZYLHNFPL-GCURPGTCSA-N
analogInchikeys,329,HYIFFZAQXPUEAU-UHFFFAOYSA-N
analogInchikeys,344,WDKYDMULARNCIS-AUPPOWQRSA-N
analogInchikeys,347,IGQBPDJNUXPEMT-SNVBAGLBSA-N
analogInchikeys,367,NA
analogInchikeys,376,NYHBQMYGNKIUIF-UUOKFMHZSA-N
analogInchikeys,380,APVRHNHXZXFDLN-UHFFFAOYSA-N
analogInchikeys,384,FEBNTWHYQKGEIQ-GWUKUUHCSA-N
analogInchikeys,405,NA
analogInchikeys,406,NA
analogInchikeys,408,ASWBNKHCZGQVJV-HSZRJFAPSA-N
analogInchikeys,418,RCRCTBLIHCHWDZ-DOFZRALJSA-N
analogInchikeys,420,QMLGNDFKJAFKGZ-UHFFFAOYSA-N
analogInchikeys,424,WVQBLGZPHOPPFO-LBPRGKRZSA-N
analogInchikeys,428,NA
analogInchikeys,435,UWHZIFQPPBDJPM-FPLPWBNLSA-N
analogInchikeys,438,BXLYSRPHVMCOPS-ACZMJKKPSA-N
analogInchikeys,439,HLXRWTJXGMHOFN-AOMIYFKASA-N
analogInchikeys,456,FPGSEBKFEJEOSA-QRMUCLBVSA-N
analogInchikeys,459,KXGVEGMKQFWNSR-OVUADSHRSA-N
analogInchikeys,466,XBBDACCLCFWBSI-ZETCQYMHSA-N
analogInchikeys,467,ZVSKZLHKADLHSD-UHFFFAOYSA-N
analogInchikeys,477,CBQGYUDMJHNJBX-RTBURBONSA-N
analogInchikeys,483,NGVNNJYFJYTCCO-UHFFFAOYSA-N
analogInchikeys,506,GIHNTRQPEMKFKO-HQCVNHCJSA-N
analogInchikeys,510,RONQVEAZNZIVHW-ZPRPRKMUSA-N
analogInchikeys,526,DZIILFGADWDKMF-UHFFFAOYSA-N
analogInchikeys,528,XHHOHZPNYFQJKL-QWRGUYRKSA-N
