experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset2_FalsePositives,55,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Cyclohexylamines,128,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,56,201,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,57,201,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,58,681,NA,NA,NA,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,681,no matches,no matches,no matches,Methoxyphenols,0.7142857142857143,subclass,7,Insilico
dataset2_FalsePositives,59,681,NA,NA,NA,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,681,no matches,no matches,no matches,Methoxyphenols,0.7142857142857143,subclass,7,Insilico
dataset2_FalsePositives,60,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,681,no matches,no matches,no matches,Methoxyphenols,0.7142857142857143,subclass,7,Insilico
dataset2_FalsePositives,61,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,105,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Lipids and lipid-like molecules,0.6,superclass,5,Insilico
dataset2_FalsePositives,62,-1,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,63,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,64,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azacyclic compounds,NA,439,no matches,no matches,no matches,Organoheterocyclic compounds,0.6666666666666666,superclass,6,Insilico
dataset2_FalsePositives,65,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,439,no matches,no matches,no matches,Organoheterocyclic compounds,0.6666666666666666,superclass,6,Insilico
dataset2_FalsePositives,66,681,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,681,no matches,no matches,no matches,Methoxyphenols,0.7142857142857143,subclass,7,Insilico
dataset2_FalsePositives,67,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,439,no matches,no matches,no matches,Organoheterocyclic compounds,0.6666666666666666,superclass,6,Insilico
dataset2_FalsePositives,68,196,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",196,no matches,no matches,no matches,Lipids and lipid-like molecules,0.5277777777777778,superclass,36,Insilico
dataset2_FalsePositives,69,23,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,NA,NA,Benzenoids,NA,NA,23,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,NA,NA,NA,NA
dataset2_FalsePositives,70,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,8,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,71,547,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,547,no matches,no matches,no matches,Benzenoids,0.6666666666666666,superclass,3,Insilico
dataset2_FalsePositives,72,994,Benzenoids,Benzene and substituted derivatives,Toluenes,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,994,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,NA,NA,NA,NA
dataset2_FalsePositives,73,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,74,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,75,122,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,122,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Lipids and lipid-like molecules,0.8333333333333334,superclass,36,Insilico
dataset2_FalsePositives,76,372,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",372,no matches,no matches,no matches,Benzenoids,0.5714285714285714,superclass,7,Insilico
dataset2_FalsePositives,77,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenoxy compounds,372,no matches,no matches,no matches,Benzenoids,0.5714285714285714,superclass,7,Insilico
dataset2_FalsePositives,78,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,no matches,no matches,no matches,Benzenoids,0.5714285714285714,superclass,7,Insilico
dataset2_FalsePositives,79,23,NA,NA,NA,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,NA,NA,NA,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,23,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,NA,NA,NA,NA
dataset2_FalsePositives,80,370,Organic oxygen compounds,Organooxygen compounds,Ethers,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,370,Organic oxygen compounds,Organooxygen compounds,Ethers,Ethers,0.9285714285714286,subclass,28,Insilico
dataset2_FalsePositives,81,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,82,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,Thiazoles,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,83,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,84,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Isocoumarans,Isobenzofuranones,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,85,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,86,76,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,76,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,87,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,590,no matches,no matches,no matches,Organic acids and derivatives,0.625,superclass,8,Insilico
dataset2_FalsePositives,88,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,590,no matches,no matches,no matches,Organic acids and derivatives,0.625,superclass,8,Insilico
dataset2_FalsePositives,89,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,90,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,91,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenylphosphines and derivatives,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,92,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,500,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,10,Insilico
dataset2_FalsePositives,93,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,NA,500,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,10,Insilico
dataset2_FalsePositives,94,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,401,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,95,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,401,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,96,401,NA,NA,NA,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,Organic nitrogen compounds,Organonitrogen compounds,Amines,401,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,97,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organophosphorus compounds,Organothiophosphorus compounds,NA,500,no matches,no matches,no matches,Organic acids and derivatives,0.7,superclass,10,Insilico
dataset2_FalsePositives,98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,99,196,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,196,no matches,no matches,no matches,Lipids and lipid-like molecules,0.5277777777777778,superclass,36,Insilico
dataset2_FalsePositives,100,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,101,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organosulfur compounds,Sulfonyls,NA,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,102,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Thiophenes,NA,1096,no matches,no matches,no matches,Organoheterocyclic compounds,1,superclass,3,Insilico
dataset2_FalsePositives,103,1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Thiophenes,NA,1096,no matches,no matches,no matches,Organoheterocyclic compounds,1,superclass,3,Insilico
dataset2_FalsePositives,104,23,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Benzenoids,NA,NA,23,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,NA,NA,NA,NA
dataset2_FalsePositives,105,1674,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Nitrobenzenes,1674,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,106,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,34,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,107,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organosulfur compounds,Sulfonyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,108,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,Thiadiazoles,182,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset2_FalsePositives,109,201,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,201,no matches,no matches,no matches,NA,NA,NA,NA,NA
