experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierrSmallNets,17644,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17645,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,147,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17646,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17647,1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,1,Insilico
dorcierrSmallNets,17648,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17649,-1,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17650,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17651,484,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",484,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17652,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Benzenoids,Phenol ethers,Anisoles,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17653,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17654,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17655,1321,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,1321,Benzenoids,Benzene and substituted derivatives,Sesquiterpenoids,NA,NA,NA,NA,NA
dorcierrSmallNets,17656,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1196,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,1,Insilico
dorcierrSmallNets,17657,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,147,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17658,3355,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,NA,NA,NA,NA,NA,NA,3355,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17659,-1,NA,NA,NA,Organoheterocyclic compounds,Quinolines and derivatives,Quinolones and derivatives,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17660,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17661,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17662,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",431,no matches,no matches,no matches,Organic acids and derivatives,0.6666666666666666,superclass,6,Insilico
dorcierrSmallNets,17663,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17664,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17665,3355,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,3355,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17666,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17667,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17668,2881,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,"Nucleosides, nucleotides, and analogues",Purine nucleotides,NA,2881,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmallNets,17669,2511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2511,no matches,no matches,no matches,"Amino acids, peptides, and analogues",1,subclass,1,Insilico
dorcierrSmallNets,17670,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
