experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_smallNetsFP,7928,74,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,74,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7929,1947,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Ethers,1947,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7930,4207,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,4207,no matches,no matches,no matches,Organoheterocyclic compounds,1.1,superclass,2,In silico
dataset1_smallNetsFP,7931,2516,NA,NA,NA,NA,NA,NA,NA,NA,NA,2516,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7932,1501,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,1501,no matches,no matches,no matches,Benzenoids,0.5454545454545454,superclass,11,In silico
dataset1_smallNetsFP,7933,-1,NA,NA,NA,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7934,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7935,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7936,4164,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,4164,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7937,6067,N/A,N/A,N/A,N/A,N/A,N/A,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,6067,no matches,no matches,no matches,Lipids and lipid-like molecules,1.1,superclass,2,In silico
dataset1_smallNetsFP,7938,324,N/A,N/A,N/A,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,324,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6,superclass,5,In silico
dataset1_smallNetsFP,7939,-1,NA,NA,NA,N/A,N/A,N/A,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7940,116,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,116,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,0.5777777777777777,superclass,45,In silico
dataset1_smallNetsFP,7941,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7942,469,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,469,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6333333333333333,superclass,30,In silico
dataset1_smallNetsFP,7943,-1,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,-1,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7944,587,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",587,no matches,no matches,no matches,Carboxylic acids and derivatives,0.7153846153846154,class,13,In silico
dataset1_smallNetsFP,7945,682,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,682,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7946,177,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Heteroaromatic compounds,NA,177,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7947,116,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,116,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,0.5777777777777777,superclass,45,In silico
dataset1_smallNetsFP,7948,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,Hydroxysteroids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7949,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7950,-1,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7951,1152,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,1152,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7952,-1,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dataset1_smallNetsFP,7953,199,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",199,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,0.6341463414634146,superclass,41,In silico
dataset1_smallNetsFP,7954,-1,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
