experiment,feature_number,network,library_superclass,library_class,library_subclass,analog_superclass,analog_class,analog_subclass,csiFinger_superclass,csiFinger_class,csiFinger_subclass,canopus_superclass,canopus_class,canopus_subclass,componentindex,MolNet_superclass,MolNet_class,MolNet_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dorcierrSmalNets,14839,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14840,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14841,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14842,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14843,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14844,1178,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1178,no matches,no matches,no matches,"Amino acids, peptides, and analogues",0.8947368421052632,subclass,19,Insilico
dorcierrSmalNets,14845,1681,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,1681,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14846,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14847,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",147,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14848,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14849,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14850,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14851,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,412,no matches,no matches,no matches,Prenol lipids,1,class,2,Insilico
dorcierrSmalNets,14852,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,732,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14853,489,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,489,no matches,no matches,no matches,Organic acids and derivatives,0.5625,superclass,16,Insilico
dorcierrSmalNets,14854,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14855,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,270,no matches,no matches,no matches,Organic acids and derivatives,0.6666666666666666,superclass,3,Insilico
dorcierrSmalNets,14856,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,147,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14857,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14858,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14859,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14860,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14861,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14862,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14863,1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,1255,no matches,no matches,no matches,Lipids and lipid-like molecules,0.8,superclass,5,Insilico
dorcierrSmalNets,14864,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,1903,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6,superclass,5,Insilico
dorcierrSmalNets,14865,3554,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,3554,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids and derivatives,0.8,subclass,5,Library
dorcierrSmalNets,14866,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14867,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,Phosphosphingolipids,637,no matches,no matches,no matches,Lipids and lipid-like molecules,1,superclass,2,Insilico
dorcierrSmalNets,14868,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1903,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6,superclass,5,Insilico
dorcierrSmalNets,14869,-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N/A,N/A,N/A,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1,NA,NA,Library
dorcierrSmalNets,14870,1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1109,no matches,no matches,no matches,Dicarboxylic acids and derivatives,1,subclass,1,Insilico
dorcierrSmalNets,14871,5124,NA,NA,NA,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,5124,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14872,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,485,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14873,4912,NA,NA,NA,Organoheterocyclic compounds,Lactones,Delta valerolactones,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,4912,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14874,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14875,-1,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14876,-1,NA,NA,NA,Organic acids and derivatives,Organic phosphonic acids and derivatives,Organic phosphonic acids,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14877,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14878,2185,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,2185,no matches,no matches,no matches,Lipids and lipid-like molecules,1,superclass,2,Insilico
dorcierrSmalNets,14879,-1,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,NA,NA,NA,Organic nitrogen compounds,Organonitrogen compounds,Amines,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14880,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14881,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14882,2720,NA,NA,NA,N/A,N/A,N/A,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,2720,no matches,no matches,no matches,N/A,0.6,superclass,5,Insilico
dorcierrSmalNets,14883,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phenylpropanoids and polyketides,Macrolides and analogues,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14884,2046,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,2046,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14885,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14886,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14887,4385,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,4385,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14888,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,233,no matches,no matches,no matches,Lipids and lipid-like molecules,0.6,superclass,5,Insilico
dorcierrSmalNets,14889,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14890,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14891,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14892,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,823,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14893,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzenoids,NA,NA,-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
dorcierrSmalNets,14894,-1,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-1,no matches,no matches,no matches,NA,NA,NA,NA,NA
