experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_unmodified,11582,-1,"2-(14,15-Epoxyeicosatrienoyl)glycerol",Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Monoradylglycerols,1,NA,NA,Library
dataset1_unmodified,11583,302,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,Lipids and lipid-like molecules,1,superclass,2,Library
dataset1_unmodified,11584,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11585,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11586,113,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty Acyls,0.7363636363636363,class,11,Insilico
dataset1_unmodified,11587,4074,NA,NA,NA,NA,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,NA,NA,NA,NA,NA
dataset1_unmodified,11588,-1,NA,NA,NA,NA,Phenylpropanoids and polyketides,Macrolides and analogues,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11589,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11590,4393,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Phenethylamines,1.1,subclass,2,Insilico
dataset1_unmodified,11591,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Diphenylmethanes,NA,NA,NA,NA,NA
dataset1_unmodified,11592,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11593,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11594,1075,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.0444444444444445,subclass,18,Insilico
dataset1_unmodified,11595,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11596,550,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Lipids and lipid-like molecules,0.5714285714285714,superclass,35,Insilico
dataset1_unmodified,11597,1704,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Organic acids and derivatives,0.5714285714285714,superclass,14,Insilico
dataset1_unmodified,11598,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA,NA,NA,NA,NA
dataset1_unmodified,11599,80,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11600,2599,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,0.7666666666666666,subclass,3,Insilico
dataset1_unmodified,11601,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11602,794,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Anilides,NA,NA,NA,NA,NA
dataset1_unmodified,11603,2157,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids and lipid-like molecules,0.8777777777777778,superclass,9,Insilico
dataset1_unmodified,11604,3455,NA,NA,NA,NA,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11605,2527,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11606,2237,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11607,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11608,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11609,4013,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11610,4074,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11611,2742,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_unmodified,11612,-1,_130133,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Monoterpenoids,1,NA,NA,Library
dataset1_unmodified,11613,1414,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,NA,NA,NA,NA,NA
dataset1_unmodified,11614,-1,3-AMINO-4-HYDROXYBENZOATE,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Benzoic acids and derivatives,1,NA,NA,Library
dataset1_unmodified,11615,21,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,1,subclass,21,Library
dataset1_unmodified,11616,2161,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,0.7666666666666666,subclass,3,Insilico
dataset1_unmodified,11617,3657,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Carbohydrates and carbohydrate conjugates,1.1,subclass,2,Insilico
dataset1_unmodified,11618,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA,NA,NA,NA,NA
dataset1_unmodified,11619,-1,NA,NA,NA,NA,Phenylpropanoids and polyketides,Macrolides and analogues,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11620,886,NA,NA,NA,NA,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA,NA,NA,NA,NA
dataset1_unmodified,11621,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11622,131,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.0534883720930233,subclass,43,Insilico
dataset1_unmodified,11623,990,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1.0523809523809524,subclass,21,Insilico
dataset1_unmodified,11624,2991,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,0.7666666666666666,subclass,3,Insilico
dataset1_unmodified,11625,1514,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Lipids and lipid-like molecules,0.9695652173913043,superclass,23,Insilico
dataset1_unmodified,11626,-1,"Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14",Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Purines and purine derivatives,1,NA,NA,Library
dataset1_unmodified,11627,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11628,4773,NA,NA,NA,NA,Lipids and lipid-like molecules,Steroids and steroid derivatives,NA,Steroids and steroid derivatives,0.7666666666666666,class,3,Insilico
dataset1_unmodified,11629,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_unmodified,11630,2035,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls,1,class,10,Insilico
dataset1_unmodified,11631,21,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Fatty acid esters,1,subclass,21,Library
dataset1_unmodified,11632,-1,NA,NA,NA,NA,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,NA,NA,NA,NA,NA
dataset1_unmodified,11633,141,"ReSpect:PT110540 3,5-Dibromo-L-tyrosine hydrate|Tyr(3,5-diBr)|Dibromotirina|Bromotiren|Biotiren|beta-(3,5-dibromo-4-hydroxyphenyl)alanine|(2S)-2-amino-3-(3,5-dibromo-4-hydroxyphenyl)propanoic acid",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues","Amino acids, peptides, and analogues",1,subclass,3,Library
dataset1_unmodified,11634,172,NA,NA,NA,NA,Phenylpropanoids and polyketides,Macrolides and analogues,NA,NA,NA,NA,NA,NA
dataset1_unmodified,11635,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
